,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
228,Texas,Cinemark Temple and XD,"4501 South General Bruce Dr., Temple TX 76502",1,1,1,1,1,1,1,31.0864763,-97.3964021
229,Texas,Cinemark Beaumont 15 and XD,"3855 Interstate 10 South, Beaumount TX 7705",1,1,1,,,1,,30.0395877,-94.1526733
230,Texas,Century 16 and IMAX,"6685 South Padre Island, Corpus Christi TX 78412",,1,1,,,1,,27.6966836,-97.3526433
231,Texas,Ceinemark Dollar Cinemas,"5858 S P.I.D., Corpus Christi TX 78412",,,,,,1,,27.7074459,-97.3660814
232,Texas,Cinemark Tinseltown 290 and XD,"12920 Northwest Freeway, Houston TX 77040",1,,1,,,1,,29.8467576,-95.4962981
233,Texas,Cinemark Tinseltown USA and XD,"11450 East Freeway, Jacinto City TX 77029",1,1,1,,,1,,29.768392,-95.2291961
234,Texas,Cinemark 19 and XD,"1030 W. Grand Parkway N., Katy TX 77449",1,1,1,1,1,1,1,29.7867889,-95.7745546
235,Texas,Cinemark Hollywood Movies 20,"2101 E. Beltway 8, Pasadena TX 77503",,,1,1,,1,,29.68076,-95.1532254
236,Texas,Cinemark at Pearland and XD,"3311 Silverlake Village Drive, Pearland TX 77581",1,1,1,,,1,,29.5490649,-95.3851796
237,Texas,Cinemark Rosenberg 12,"3420 Vista Drive, Rosenberg TX 77471",,1,1,,1,1,1,29.5467142,-95.76183
238,Texas,Cinemark Spring-Klein and XD,"21440 Kuykendahl Rd., Spring TX 77379",1,,1,1,1,1,,30.0806261,-95.5180179
239,Texas,Cinemark 12,"7806 Navarro, Victoria TX 77904",,,1,,,1,,28.8675439,-96.9973826
240,Texas,Cinemark 18 and XD,"20915 Gulf Freeway, Exit FM 528, Webster TX 77598",1,1,1,1,,1,1,29.526707,-95.1246421
241,Texas,Cinemark 17 and XD,"1600 Lake Robbins, The Woodlands TX 77380",1,1,1,1,,1,1,30.1620836,-95.4588101
242,Texas,Cinemark at Market Street,"9595 Six Pines Dr., 8200, the Woodlands TX 77380",,,1,,,1,,30.1634932,-95.4634264
243,Texas,Cinemark Memoria City,"Memorial City Mall, Houston TX 77024",,1,1,,,1,,29.780964,-95.539892
244,Texas,Cinemark Allen and 16,"921 SH 121, Allen TX 75013",1,1,1,,,1,,33.1436603,-96.6803399
245,Texas,Cinemark Cinema 4,"218 Wood St, Athens TX 75751",,,,,,1,,32.2086651,-95.8367436
246,Texas,Cinemark 14,"280 Uptown Blvd, Cedar Hill TX 75104",,,1,,,1,,32.592147,-96.9498506
247,Texas,Cinemark Cinema 6,"1643 W. Henderson St., Cleburne TX 76031",,,,,,1,,32.3361048,-97.4162941
248,Texas,Cinemark 17 and IMAX,"11819 Webb Chapel, Dallas TX 75234",,,1,1,,1,,32.9104375,-96.874471
249,Texas,Cinemark 14,"2825 Wind River, Denton TX 76210",,1,1,,,1,,33.1760657,-97.099183
250,Texas,Cinemark Alliance Town Center and XD,"9228 Sage Meadow Trail, Fort Worth TX 76177",1,,1,,,1,,32.9065686,-97.3135603
251,Texas,Ridgmar 13 and XD,"2300 Green Oaks Road, Forth Worth TX 76116",1,1,1,,,1,,32.7395687,-97.4375853
252,Texas,Cinemark Frisco Square and XD,"5655 Frisco Square Blvd, Frisco TX 75034",1,,1,,,1,,33.1499962,-96.8371936
253,Texas,Cinemark Hollywood USA Movies 15,"4040 South Shiloh Road, Garland TX 75041",,,,1,,1,,32.8686599,-96.6644814
254,Texas,Cinemark Movies 16,"220 W. Westchester, Grand Prairie TX 75052",,1,,,,1,,32.6733178,-97.0086866
255,Texas,Cinemark Tinseltown Grapevine and XD,"911 State Hwy 114 W., Grapevine TX 76051",1,,1,1,,1,,32.9194876,-97.0851942
256,Texas,North East Mall 18 and XD,"1101 Melbourne Road, Hurst TX 76053",1,1,1,,,1,,32.8300589,-97.2002438
257,Texas,Cinemark Movies 14,"3250 West Pleasant Run Rd., Lancaster TX 75146",,,,,,1,,32.6028701,-96.8209403
258,Texas,Cinemark Vista Ridge Mall and XD,"Vista Ridge Mall, Lewisville TX 75067",1,1,1,,,1,,33.002388,-96.9715118
259,Texas,Cinemark Movies 8,"420 Oakbend Dr., Lewisville TX 75067",,,,,,1,,33.0098779,-96.9807804
260,Texas,Cinemark 12 Mansfield and XD,"2041 Hwy 287 Suite 901, Mansfield TX 76063",1,1,1,,,1,,32.5973388,-97.1500661
261,Texas,Cinemark Movies 14,"1701 S. Central Expressway, McKinney TX 75069",,,,,,1,,33.1878588,-96.6377622
262,Texas,Cinemark Movies 8,"1225 Ne Loop 286, Paris TX 75460",,,,,,1,,33.6787976,-95.5357389
263,Texas,Cinemark Legacy and XD,"7201 N Central Expressway, Plano TX 75025",1,1,1,1,1,1,1,32.8525346,-96.7713728
264,Texas,Cinemark West Plano and XD,"3800 Dallas Parkway, Plano TX 75093",1,1,1,1,1,1,1,33.0492496,-96.8277415
265,Texas,Cinemark Movies 10,"1818 Coit Road, Plano TX 75075",,,,,,1,,33.0251222,-96.7685549
266,Texas,Cinemark Roanoke and XD,"850 E. Hwy 114, Roanoke TX 76262",1,1,1,,1,1,,32.9993929,-97.2187646
267,Texas,Cinemark 12 Rockwall,"2125 Summer Lee, Rockwall TX 75032",,,1,,,1,,32.8910922,-96.4800692
268,Texas,Cinemark Sherman,"3310 Town Center Street, Sherman TX 75092",,,1,,,1,,33.6743195,-96.6129843
269,Texas,Cinemark Cinema 6,"2900 West Washington Street, Stephenville TX 76401",,,,,,1,,32.2008105,-98.2440279
270,Texas,Cinemark Texarkana 14,"4230 St. Michael Drive, Texarkana TX 75503",,,1,,,1,,33.4561386,-94.0951837
271,Texas,Cinemark 14 Wichita Falls,"2915 Glenwood Blvd, Wichita Falls, TX 76308",,,1,,,1,,33.8842337,-98.524558
272,Texas,Cinemark Sunrise Mall and XD,"2370 Haw 77/83 North, Sutie 1314 Brownsville, TX 78521",1,,1,,,1,,25.9534206,-97.5030487
273,Texas,Cinemark Movies 10,"3471 Old Hwy 77, Brownsville, TX 78520",,,,,,1,,25.9517449,-97.5078885
274,Texas,Cinemark 12 Cypress and XD,"25720 Northwest Frwy., Cypress TX 77429",1,,1,,,1,,29.9700567,-95.6884491
275,Texas,Cinemark Movies 8,"2205 Veterans Blvd., Del Rio TX 78840",,,,,,1,,29.3906311,-100.9031923
276,Texas,Cinemark Mall de Las Aguilas,"Mall de Las Aguilas, Eagle Pass TX 78852",,,1,,,1,,28.703035,-100.4843438
277,Texas,Cinemark Movie Bistro-Edinburg,"2001 W. Trenton, Suite 116, Edinburg TX 78539",,,1,1,1,1,,26.2658233,-98.1909717
278,Texas,Cinemark 20 and XD,"11855 Gateway West, El Paso TX 79936",1,,1,1,,1,,31.7280049,-106.3074756
279,Texas,Cinemark West and XD,"7440 Remcon Circle, El Paso TX 79912",1,1,1,,,1,,31.8319113,-106.5640236
280,Texas,Cinemark Cielo Vista Mall 14 and XD,"8401 Gateway West, El Paso TX 79925",,,1,,,1,,31.7950122,-106.3586671
281,Texas,Cinemark East Montana and XD,"12704 East Montana, El Paso TX 79938",1,,1,1,1,1,,31.8073193,-106.2453192
282,Texas,Cinemark Movie Bistro El Paso,"750 Sunland Park Dr., Suite #T01, El Paso TX 79912",,,1,1,1,1,,31.8144216,-106.5440443
283,Texas,Cinemark 16 and XD,"401 S. Expressway 83, Harlingen TX 78550",1,,1,1,,1,,26.1871775,-97.7142607
284,Texas,Cinemark Movies 10,"629 North 13th Street, Harlingen TX 78550",,,,,,1,,26.1982105,-97.683028
285,Texas,Cinemark Mall del Norte,"5300 San Dario, Suite 2206, Laredo TX 78041",,1,1,,,1,,27.5528119,-99.5000931
286,Texas,Cinemark Movies 12,"5412 San Bernrdo, Laredo TX 78041",,,,,,1,,27.548351,-99.5081712
287,Texas,Cinemark Hollywood USA,"100 W. Nolana Loop, McAllen TX 78504",,,,,,1,,26.2395008,-98.2122679
288,Texas,Cinemark Movies 6,"1800 S. 16th Street, McAllen TX 78501",,,,,,1,,26.1889762,-98.2401833
289,Texas,Cinemark Tinseltown USA and XD,"2422 East Expressway 83, Mission TX 78572",1,,1,,,1,,26.1935409,-98.2819023
290,Texas,Cinemark Pharr Town Center and XD,"600 N. Jackson Road, Pharr TX 78577",1,1,1,1,1,1,1,26.2054097,-98.2013265
291,Texas,Cinemark Movies 12,"10000 E.F. Lowry Expressway, Texas City TX 77591",,,,,,1,,29.4063109,-95.0255603
292,Texas,Cinemark Movies 10,"2113 West Expresswaty 83, Weslaco TX 78596",,1,,,,1,,26.1705658,-98.0115751
293,Texas,Century 12 Abilene,"3818 John Knox Drive, Abilene TX 79606",,,1,,,1,,32.405601,-99.769721
294,Texas,Cinemark Hollywood 16 and XD,"9100 Canyon Drive, Amarillo TX 97119",,1,1,,,1,,35.1139372,-101.9125894
295,Texas,Cinemark Cinema 4,"1801 East FM 700, Big Spring TX 79720",,,,,,1,,32.2448722,-101.4460176
296,Texas,Cinemark Movies 16 and XD,"5721 58th Street, Lubbock TX 79424",1,,1,,,1,,33.5405764,-101.9373406
297,Texas,Cinemark Tinseltown Lubbock and XD,"2535 82nd St., Lubbock TX 79423",1,1,1,,,1,,33.5176807,-101.8730441
298,Texas,Century 12 Odessa,"4221 Breston Smith Rd., Odessa TX 79762",,,1,,,1,,31.8974119,-102.327533
299,Texas,Cinemark Town Centre Cinema 6,"1001 I-27 N. Hwy 70, Plainview TX 79072",,,,,,1,,34.1930235,-101.7510505
300,Texas,Cinemark Tinseltown USA,"4425 Sherwood Way, San Angelo TX 76904",,,1,,,1,,31.4339168,-100.4961314
301,Texas,Cinemark Abilene and XD,"672 East Overland Trail, Abilene TX 79601",1,1,1,1,,1,1,32.4869806,-99.7118593
302,Utah,Cinemark American Fork,"715 West 180 North, American Fork UT 84003",,1,1,,,1,,40.3786442,-111.8182919
303,Utah,Cinemark Draper and XD,"12129 South State Street, Draper UT 84020",1,1,1,,,1,,40.53002,-111.8880657
304,Utah,Cinemark Farmington at Station Park and XD,"900 W. Clark Lane, Farmington UT 84025",1,,1,,,1,,40.982446,-111.9066035
305,Utah,Cinemark Layton and XD,"720 West 1500 North, Layton UT 84041",,1,,,,1,,41.0818635,-111.9769115
306,Utah,Cinemark Tinseltown 14,"3651 Wall Avenue, Ogden UT 84405",,1,1,,,1,,41.1949793,-111.9824898
307,Utah,Cinemark University Mall,"1010 South 800 East, Orem UT 84097",,1,,,,1,,40.2783489,-111.6773446
308,Utah,Cinemark 16,"1200 Towne Centre Blvd., Provo UT 84601",,,1,,,1,,40.2169746,-111.6627188
309,Utah,"Century 16 Salt Lake, 33rd at State","125 East 3300 South, Salt Lake City UT 84415",,,1,,,1,,40.7002584,-111.8873204
310,Utah,Cinemark Sugar House,"2227 S. Highland Dr., Salt Lake City UT 84106",,1,,,,1,,40.7223928,-111.8578225
311,Utah,Century 16 Sandu Union Heights,"7670 S. Union Park Ave., Sandy UT 84047",,,1,,,1,,40.6113637,-111.8562996
312,Utah,Cinemark Movies 9,"9539 So. 700 E. Suite 2, Sandy UT 84070",,,,,,1,,40.5784991,-111.8693414
313,Utah,Cinemark Bountiful 8 ,"206 South 625 West, Suite 1230, West Bountiful UT 84010",,,,,,1,,40.8871363,-111.8951685
314,Utah,Cinemark 24 Jordan Landing and XD,"7301 South Jordan Landing, West Jordan UT",1,1,1,1,,1,1,40.619151,-111.9814992
315,Utah,Cinemark West Valley City and XD,"5412 West High Market Drive, West Valley City UT 84120",1,,1,,,1,,40.7141523,-112.0199711
316,Utah,Cinemark Valley Fair 9,"3601 S. 2700 We., West Valley City, UT 84119",,,,,,1,,40.6906488,-111.9758534
317,Virginia,Cinemark Tinseltown USA,"3004 Linden Drive, Bristol VA 24202",,,1,,,1,,36.6298118,-82.1289454
318,Virginia,Cinemark Centreville 12,"6201 Multiplex Drive, Centreville VA 20121",,1,,,1,1,1,38.8296352,-77.4360429
319,Virginia,Cinemark Chesapeake Square and XD,"2413 Chesapeake Square Ring Rd., Chesapeake VA 23321",1,,1,,,1,,36.8265894,-76.4147206
320,Virginia,Cinemark Fairfax Corner and XD,"11900 Palace Way, Fairfax VA 22030",1,1,1,1,1,1,1,38.8591191,-77.3563102
321,Virginia,Cinemark 18,"880 North Military Hwy, Norfolk VA 23502",,,1,,,1,,36.8506867,-76.2060485
322,Virginia,Cinemark City Center 12,"11810 Fountain Way, Newport News VA 23606",1,1,1,1,1,1,1,37.085587,-76.4716721
323,Washington,Cinemark Lincoln Square Cinemas,"700 Bellevue Way NE, Bellevue WA 98004",,,1,,,1,,47.6168366,-122.2011076
324,Washington,Century Federal Way and XD,"2001 S. Commons, The Commons at Federal Way WA 98003",1,1,1,,,1,,47.3138346,-122.308318
325,Washington,Century Olympia,"Westfield Capital, Olympia WA 98502",,1,1,,,1,,47.0418381,-122.9340639
326,Washington,Century Point Ruston and XD,"5057 Main Street, Tacoma, WA 98407",1,1,1,,,1,,47.2990571,-122.5041165
327,Washington,Cinemark Reserve Dine-in - 21 and Over,"500 Bellevue Way NE, Suite 340 Bellevue WA 98004",,1,1,1,1,1,1,47.6148929,-122.201084
328,West Virginia,Cinemark Huntington Mall,"500 Mall Road, Barboursville WV 25504",,,1,,,1,,38.4234041,-82.2657772
329,West Virginia,Cinemark Meadowbrook Mall,"2105 Meadowbrook Rd., Bridgeport WV 23660",,,1,,,1,,39.3091814,-80.2782846
330,Wisconsin,Cinemark Tinseltown USA,"7101 70th Court, Kenosha WI, 53142",0,0,1,0,0,1,0,42.5704633,-87.8921751
